question,option1,option2,option3,option4,answer,image
ข้อใดเป็นประเภทของ Machine learning,Supervised learning,Unsupervised learning,Semi-supervised learning,ถูกทุกข้อ,4,NULL
ข้อใดไม่ใช่ลักษณะ training data สำหรับ supervised learning,ทุก ๆ sample มีแต่ features อย่างเดียวไม่มี target,ทุก ๆ sample ต้องมีทั้ง features และ target,Target สามารถเป็นได้ทั้ง discrete หรือ continuous values ก็ได้,"Features สามารถเป็น text, image, categorical หรือว่า numeric ก็ได้",1,NULL
ข้อใดกล่าวไม่ถูกต้องเกี่ยวกับ Supervised learning,เป้าหมายของ Supervised learning คือทำนายข้อมูลที่ไม่เคยเห็นมาก่อน,Training คือการหาโมเดลเพื่อ map ค่า features ไปยัง target,Inference คือการเอาโมเดลที่ trained แล้วไปใช้กับข้อมูลใหม่,เทคนิคหนึ่งของ Supervised learning คือการจัดกลุ่มข้อมูล (Clustering),4,NULL
ข้อใดกล่าวผิดเกี่ยวกับ Linear regression,จำนวน Model parameters เท่ากับ จำนวน Features + 1,เป็นการ map ค่า features ไป target เป็นแบบ Linear,Target เป็น Continuous values,Target เป็น Discrete values,4,NULL
ข้อใดกล่าวผิดเกี่ยวกับ Learning algorithm,Algorithm ที่ใช้หา Model parameters ที่เหมาะสม,Algorithm ที่ใช้หา Hyper-parameters ที่เหมาะสม,Algorithm ที่ใช้หา Hyper-parameters ที่เหมาะสม,บาง Algorithm มีการวนลูปเวลาหาคำตอบ,3,NULL
ข้อใดกล่าวผิดเกี่ยวกับ Loss function,เป็น Function ที่ Learning algorithm ใช้สำหรับ Minimise,ค่า Loss เยอะๆ ยิ่งดี,เป็น Function ที่วัดค่าความแตกต่างของสิ่งที่โมเดลทำนายกับค่าจริง,Mean squared error เป็น Loss function ประเภทหนึ่งที่ใช้ใน regression,2,NULL
ข้อใดกล่าวผิดเกี่ยวกับ Hyper-parameters,เป็นค่าที่ถูกกำหนดก่อนการเทรนโมเดล,เป็นค่าที่มีการเปลี่ยนแปลงด้วย Learning algorithm,สามารถหาค่าที่เหมาะสมได้จากการวัดประสิทธิภาพของโมเดลในระหว่างการทำ cross-validation,เป็นค่าที่ควบคุมการหาค่า Model parameters ให้ตรงกับความต้องการ,2,NULL
วิธีใดเพิ่ม model complexity ในกรณีของ Linear regression model,เพิ่ม Polynomial degree,ลด Polynomial degree,ลด Features,ไม่มีข้อใดถูก,1,NULL
เมื่อ Model complexity เพิ่มขึ้น แนวโน้มของ Training error จะเป็นอย่างไร,เพิ่มขึ้น,ลดลง,XX,XX,2,NULL
ข้อใดไม่ใช่เหตุผลในการทำ Train-test splits หรือ cross-validations ใน Machine learning project,เพื่อป้องกันการ Overfitting,เพื่อสามารถตรวจสอบได้ว่าโมเดล Overfitting หรือไม่,เพื่อ Tune hyper-parameters,เพื่อใช้สำหรับ Model selection,1,NULL
หากเราต้องการวัดค่า Unbiased generalisation performance เราต้องแยก Test set ออกจาก Process ใดบ้าง,Training,Hyper-parameter tuning,Model selection,ถูกทุกข้อ,4,NULL
ข้อใดคือคำจำกัดความของ Overfitting,Training error < Test error,เมื่อเพิ่ม Model complexity แล้ว Training error ลดลง แต่ Test error เพิ่มขึ้น,Test error < Training error,Training error สูง,2,NULL
ข้อใดกล่าวผิดเกี่ยวกับ Ridge regression,Linear regression ที่มี Regularisation term,Regularization term ที่ใช้คือ L2-norm,Regularization term ที่ใช้คือ L1-norm,Regularization term ที่ใช้มีชื่อเรียกอีกอย่างหนึ่งว่า Weight decay,3,NULL
Weight decay term ทำให้เกิดปรากฏการณ์ดังต่อไปนี้,Weights ที่ Learning algorithms หาได้จะมีค่าเข้าใกล้ศูนย์,ทำให้ลดการ Overfitting,เปรียบเสมือนการเลือก Features โดยอัตโนมัติ,ถูกทุกข้อ,4,NULL
การแก้ปัญหา Overfitting ทำได้โดย,เพิ่ม Training samples,ใส่ Regularisation term ลงไปใน Loss function,ลดจำนวน Degrees of polynomials ในกรณีของ Linear regression models,ถูกทุกข้อ,4,NULL
โมเดลที่เหมาะสมควรมี,"Low bias, high variance","Low bias, low variance","High bias, high variance","High biag, high variance",2,NULL
Total error ประกอบด้วย,Bias,Variance,Irreducible error,ถูกทุกข้อ,4,NULL
Error ประเภทใดไม่ขึ้นอยู่กับ Model complexity หรือโมเดลที่เลือกใช้,Bias,Variance,Irreducible error,ถูกทุกข้อ,3,NULL
ข้อใดไม่สามารถใช้เป็น Evaluation metrics สำหรับปัญหา Regression,Root Mean Squared Error (RMSE),Mean Absolute Error (MAE),Accuracy,R-squared,3,NULL
ค่าของ R-squared อยู่ในช่วงใด,"[-1,1]","[0,1]","[0,inf)","(-inf,inf)",2,NULL
ค่าของ Normalized root mean squared error (NRMSE) อยู่ในช่วงใด,"[-1,1]","[0,1]","[0,inf)","(-inf,inf)",3,NULL
ข้อใดเรียงลำดับขั้นตอนในการ Machine learning project ไม่เหมาะสม,Split train-test -> Train model -> Evaluate model,Cross-validation -> Train model -> Evaluate model,Data transformation ด้วย fit_transform -> Split train-test -> Train model -> Evaluate model,XXX,3,NULL
โปรแกรมทำนายประเภทของเพลงว่าเป็น Genre อะไร (เช่น เพลง Forget Me Nots เป็นทั้งแนว Pop และ Jazz) เป็น Classification ประเภทใด,Multi-label classification,Multi-class classification,Binary classification,XXX,1,NULL
โปรแกรมทำนายว่า E-mail ใดเป็น Spam เป็น Classification ประเภทใด,Multi-label classification,Multi-class classification,Binary classification,XXX,3,NULL
โปรแกรมรู้จำเสียงพูด (Speech recognition) เป็น Classification ประเภทใด,Multi-label classification,Multi-class classification,Binary classification,XXX,2,NULL
ข้อใดคือชื่อของ Binary classifier,Ridge regression,Linear regression,Logistic regression,Lasso regression,3,NULL
ถ้าต้องการทำ Multi-class classification ที่สามารถได้ 4 คลาส จะต้องสร้าง Binary classifier อย่างน้อยที่สุดกี่อัน โดยที่คำนึงถึง Unknown class ด้วย,1,3,4,6,3,NULL
ข้อใดคือ Loss function ที่เหมาะสมในการทำ Binary classification,Root Mean Squared Error (RMSE),Mean Absolute Error (MAE),Cross entropy loss,ถูกทุกข้อ,3,NULL
ตัวเลือกใดไม่เหมาะใช้เป็น Evaluation metrics สำหรับปัญหา Classification,Confusion matrix,Mean Squared Error,Precision-recall และ F1-score,Accuracy,2,NULL
เส้นทแยงมุมใน ROC curve ใกล้เคียงกับประสิทธิภาพของ Classifier ประเภทใดมากที่สุด,Perfect classifier,Random classifier,Classifier ที่ Overfitting กับ Training data,Classifier ที่ Underfitting กับ Training data,2,NULL
ค่าใดต่อไปนี้ไม่ควรใช้วัดประสิทธิภาพของโมเดลได้โดยลำพัง,Precision,Accuracy,F1-score,XXX,1,NULL
Imbalanced dataset คืออะไร,ข้อมูลที่มีจำนวน Features มาก,ข้อมูลที่มีจำนวน Samples ในแต่ละคลาสแตกต่างกันมาก,ข้อมูลที่มี Missing values,ข้อมูลที่ไม่มี Labels,2,NULL
เทคนิคใดต่อไปนี้สามารถช่วยแก้ปัญหา Imbalanced dataset ได้,Oversampling ของ Minority class,Undersampling ของ Majority class,ปรับปรุง Cost function โดยให้น้ำหนักของ Minority class มากขึ้น,ถูกทุกข้อ,4,NULL
คำกล่าวต่อไปนี้ถูกต้องหรือไม่ “การทำ Oversampling ควรทำก่อน Train-test splits”,ถูกต้อง,ไม่ถูกต้อง,XXX,XXX,2,NULL
Linear regression model ที่ใช้ L1-norm เป็น Regularization term ใน Cost function มีชื่อว่าอะไร,Ridge regression,Linear regression,Elastic Net,Lasso regression,4,NULL
Linear regression model ที่ใช้ L1-norm และ L2-norm เป็น Regularization term ใน Cost function มีชื่อว่าอะไร,Ridge regression,Elastic Net,Logistic regression,Lasso regression,2,NULL
"Model ดังต่อไปนี้ให้ความสำคัญกับ Feature ใดมากที่สุดในการทำนาย โดยค่าของ Features ทั้งหมด xi;i=1,2,3,4 อยู่ใน Scale เดียวกัน",x1,x2,x3,x4,2,Super2_617100e9016cc.png
Activation function ใดที่สามารถใช้ได้ใน Hidden layers,Tanh,ReLu,Sigmoid,ถูกทุกข้อ,4,NULL
Output activation function ควรใช้สำหรับ Binary classification,Tanh,ReLu,Sigmoid,ไม่ใช้ Activation function,3,NULL
ตัวเลือกใดเป็นการลด Model complexity ของ Neural network,เพิ่มจำนวน Hidden layers,เพิ่มจำนวน Nodes ใน Hidden layers,ลดจำนวน Hidden layers หรือ ลดจำนวน Nodes ใน Hidden layers,XXX,3,NULL
สมการใดใช้สำหรับการทำนายใน Linear SVM classifier โดย y hat เป็น  Class ที่โมเดลทำนาย w เป็น Model parameter vector และ x เป็น Feature vector,a,b,c,d,1,super3_617102b7bdfa7.png
ตัวเลือกใดเป็น Loss function ของ Linear SVM classifier สำหรับ Binary classificationโดย,a,b,c,d,1,Screenshot_93.png
ตัวเลือกใดเป็นการทำ Regularization ใน SVM,เพิ่มค่า Slack variable,ลดค่า Slack variable,ใช้ Kernel ที่มีความซับซ้อนมากขึ้น,ลดค่า E (ตัวคล้าย e อะไรวะ) สำหรับ Regression,2,NULL
ตัวเลือกใดกล่าวถูกต้องเกี่ยวกับ Gini index,ค่าที่ใช้วัดความไม่บริสุทธิ์ (Impurity) ของ Node ใดๆใน Decision tree,ค่าที่ใช้วัดความบริสุทธิ์ (Purity) ของ Node ใดๆใน Decision tree,Gini index ของ Node หนึ่งๆ จะเป็น 0 เมื่อใน Node หนึ่ง ๆ มี Samples ที่มาจากแต่ละคลาสด้วยจำนวนเท่า ๆ กัน,XXX,1,NULL
ตัวเลือกใดเป็นการลด Model complexity ของ Decision tree,เพิ่มความลึกของต้นไม้,เพิ่มจำนวน Samples น้อยสุดที่จะเกิดการ Split,ลดจำนวน Samples น้อยสุดที่จะเกิดการ Split,XXX,2,NULL
